PhysicalVolume LogicalVolume MotherLogicalVolume
PMT0_Inner_Vacuum PMTInnerVacuumLogicalVolume PMTLogicalVolume
PMT0_Window PMTWindowLogicalVolume PMTLogicalVolume
PMT0_Photocathode PMTPhotocathodeLogicalVolume PMTInnerVacuumLogicalVolume
PMT0_Ceramic_Stem CeramicLogicalVolume PMTLogicalVolume
PMT1_Window R8520_window_log R8520_log
PMT1_Ring R8520_ring_log R8520_log
LXe_TPC LXe_Logical TPC_Logical
GXe_TPC GXe_Logical LXe_Logical
LXe_weir_1 LXe_weir_1_log LXe_Logical
GXe_weir_1 GXe_weir_1_log LXe_Logical
GXe_weir_2 GXe_weir_2_log GXe_Logical
LXe_extra_filling LXe_extra_filling_log GXe_Logical
TPC_SS_PMTfixture TPC_SS_PMTfixture_log LXe_Logical
TPC_Al_filler TPC_Al_filler_log LXe_Logical
TPC_Cu_FSE_1 TPC_Cu_FSE_log LXe_Logical
TPC_Cu_FSE_2 TPC_Cu_FSE_log LXe_Logical
TPC_Cu_FSE_3 TPC_Cu_FSE_log LXe_Logical
TPC_Cu_FSE_4 TPC_Cu_FSE_log LXe_Logical
TPC_Cu_FSE_5 TPC_Cu_FSE_log LXe_Logical
TPC_SS_BottomRing TPC_SS_BottomRing_log LXe_Logical
TPC_PTFE_filler TPC_PTFE_filler_log LXe_Logical
TPC_PTFE_BottomPMTHolder TPC_PTFE_BottomPMTHolder_log LXe_Logical
TPC_PTFE_reflector_LXe TPC_PTFE_reflector_LXe_log LXe_Logical
TPC_SS_cathode_ring TPC_SS_cathode_ring_log LXe_Logical
TPC_PEEK_weir_LXe TPC_PEEK_weir_LXe_log LXe_Logical
TPC_Torlon_rod_1 TPC_Torlon_rod_log LXe_Logical
TPC_Torlon_rod_2 TPC_Torlon_rod_log LXe_Logical
TPC_Torlon_rod_3 TPC_Torlon_rod_log LXe_Logical
TPC_Torlon_rod_4 TPC_Torlon_rod_log LXe_Logical
TPC_Torlon_rod_5 TPC_Torlon_rod_log LXe_Logical
TPC_Torlon_rod_6 TPC_Torlon_rod_log LXe_Logical
TPC_PTFE_pillar_LXe_0 TPC_PTFE_pillar_LXe_log LXe_Logical
TPC_PTFE_pillar_LXe_1 TPC_PTFE_pillar_LXe_log LXe_Logical
TPC_PTFE_pillar_LXe_2 TPC_PTFE_pillar_LXe_log LXe_Logical
TPC_PTFE_pillar_LXe_3 TPC_PTFE_pillar_LXe_log LXe_Logical
TPC_PTFE_pillar_LXe_4 TPC_PTFE_pillar_LXe_log LXe_Logical
TPC_PTFE_pillar_LXe_5 TPC_PTFE_pillar_LXe_log LXe_Logical
PMT0_Body PMTLogicalVolume LXe_Logical
TPC_SS_TopRing TPC_SS_TopRing_log GXe_Logical
TPC_PTFE_spacer1 TPC_PTFE_spacer1_log GXe_Logical
TPC_PTFE_spacer2 TPC_PTFE_spacer2_log GXe_Logical
TPC_PTFE_reflector_GXe TPC_PTFE_reflector_GXe_log GXe_Logical
TPC_SS_gate_ring TPC_SS_gate_ring_log GXe_Logical
TPC_PTFE_TopPMTHolder TPC_PTFE_TopPMTHolder_log GXe_Logical
TPC_SS_anode_ring TPC_SS_anode_ring_log GXe_Logical
TPC_SS_TopMesh_ring TPC_SS_TopMesh_ring_log GXe_Logical
TPC_PEEK_weir_LXe2 TPC_PEEK_weir_LXe2_log GXe_Logical
TPC_PTFE_pillar_GXe_0 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_PTFE_pillar_GXe_1 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_PTFE_pillar_GXe_2 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_PTFE_pillar_GXe_3 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_PTFE_pillar_GXe_4 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_PTFE_pillar_GXe_5 TPC_PTFE_pillar_GXe_log GXe_Logical
TPC_SS_pillar_0 TPC_SS_pillar_log GXe_Logical
TPC_SS_pillar_1 TPC_SS_pillar_log GXe_Logical
TPC_SS_pillar_2 TPC_SS_pillar_log GXe_Logical
TPC_SS_pillar_3 TPC_SS_pillar_log GXe_Logical
TPC_SS_pillar_4 TPC_SS_pillar_log GXe_Logical
TPC_SS_pillar_5 TPC_SS_pillar_log GXe_Logical
PMT1_Body R8520_log GXe_Logical
TPCVolume TPC_Logical LabVolume
